Date,ABTC,ADBE,ADI,AEHR,AFRM,AGG,AI,AMBA,AMD,AMZN,ANY,ARBK,AVGO,AXP,BAC,BBAI,BITF,BK,BKKT,BLK,BTBT,BTCS,BTDR,C,CFG,CIFR,CLSK,COF,COIN,CORZ,CRM,CRWD,CXAI,DDOG,FITB,GFS,GOOGL,GREE,GS,HIMX,HIPO,HIVE,HOOD,HUT,INDI,INTC,IREN,JPM,KLAC,LASR,LC,LRCX,MARA,MCHP,MDB,META,MPWR,MQ,MS,MSFT,MSTR,MTB,MU,NET,NU,NVDA,NVTS,NXPI,ON,ORCL,PLTR,PNC,POWI,QCOM,RIOT,ROOT,SCHW,SMTC,SNOW,SOFI,SOUN,STT,TER,TFC,TSLA,TSM,TXN,U,UPST,USB,VERI,WFC,WULF,XLP,XLU,ZS
2025-09-02,6.900000095367432,345.6300048828125,248.32000732421875,24.8799991607666,82.22000122070312,98.87000274658203,16.81999969482422,80.06999969482422,162.32000732421875,225.33999633789062,0.6100000143051147,0.2590000033378601,298.239990234375,331.17999267578125,50.41999816894531,5.019999980926514,1.340000033378601,104.69999694824219,9.199999809265137,1114.77001953125,2.609999895095825,4.079999923706055,14.239999771118164,94.77999877929688,51.599998474121094,8.319999694824219,9.640000343322754,223.27000427246094,303.55999755859375,14.0,252.86000061035156,413.5,0.718999981880188,134.69000244140625,45.56999969482422,33.15999984741211,211.35000610351562,1.190000057220459,730.8499755859375,8.079999923706055,32.529998779296875,2.950000047683716,100.83999633789062,27.399999618530273,4.360000133514404,24.209999084472656,29.110000610351562,299.70001220703125,846.3499755859375,28.450000762939453,16.6200008392334,97.02999877929688,16.059999465942383,63.599998474121094,318.2900085449219,735.1099853515625,823.6500244140625,6.170000076293945,148.85000610351562,505.1199951171875,341.6199951171875,198.97999572753906,118.4800033569336,208.0500030517578,14.859999656677246,170.77999877929688,5.760000228881836,232.66000366210938,48.939998626708984,225.3000030517578,157.08999633789062,205.4199981689453,44.540000915527344,158.77999877929688,14.09000015258789,88.80000305175781,96.12000274658203,57.7599983215332,233.60000610351562,24.90999984741211,13.420000076293945,113.26000213623047,120.61000061035156,46.41999816894531,329.3599853515625,228.38999938964844,199.80999755859375,39.40999984741211,69.16999816894531,48.52000045776367,3.109999895095825,81.77999877929688,9.630000114440918,80.6500015258789,84.04000091552734,274.57000732421875
2025-09-03,8.039999961853027,348.5,244.5500030517578,24.520000457763672,85.30999755859375,99.2300033569336,16.68000030517578,79.31999969482422,162.1300048828125,225.99000549316406,0.6069999933242798,0.257999986410141,302.3900146484375,323.7099914550781,50.060001373291016,4.900000095367432,1.2899999618530273,104.68000030517578,8.59000015258789,1099.489990234375,2.5,4.349999904632568,13.260000228881836,95.02999877929688,51.66999816894531,8.109999656677246,9.4399995803833,221.3300018310547,302.30999755859375,13.579999923706055,256.45001220703125,413.20001220703125,0.6809999942779541,132.60000610351562,45.58000183105469,33.220001220703125,230.66000366210938,1.2100000381469727,730.5599975585938,8.210000038146973,32.369998931884766,2.880000114440918,100.81999969482422,27.670000076293945,4.309999942779541,24.0,28.209999084472656,299.510009765625,843.9000244140625,28.700000762939453,16.360000610351562,97.73999786376953,15.890000343322754,63.279998779296875,312.8800048828125,737.0499877929688,827.5599975585938,6.179999828338623,148.52999877929688,505.3500061035156,330.260009765625,198.57000732421875,118.72000122070312,205.7100067138672,14.899999618530273,170.6199951171875,5.730000019073486,228.1999969482422,47.790000915527344,223.4499969482422,154.89999389648438,205.0,43.90999984741211,157.27999877929688,13.449999809265137,88.05999755859375,96.22000122070312,57.93000030517578,229.3300018310547,24.489999771118164,12.739999771118164,113.0,119.62999725341797,46.40999984741211,334.0899963378906,231.38999938964844,195.74000549316406,39.099998474121094,64.45999908447266,48.540000915527344,2.9600000381469727,80.51000213623047,8.979999542236328,80.58999633789062,83.83000183105469,270.5799865722656
2025-09-04,6.409999847412109,344.30999755859375,246.11000061035156,26.290000915527344,89.66000366210938,99.62999725341797,15.460000038146973,81.19000244140625,161.7899932861328,235.67999267578125,0.5789999961853027,0.2460000067949295,306.1000061035156,330.6499938964844,50.619998931884766,4.929999828338623,1.25,105.55999755859375,8.390000343322754,1108.760009765625,2.4800000190734863,4.25,12.010000228881836,97.08000183105469,52.5099983215332,7.400000095367432,9.079999923706055,226.32000732421875,306.79998779296875,13.619999885559082,244.00999450683594,412.4599914550781,0.6430000066757202,131.77999877929688,46.2599983215332,33.33000183105469,232.3000030517578,1.1299999952316284,748.9000244140625,8.319999694824219,32.91999816894531,2.7100000381469727,102.91000366210938,25.610000610351562,4.28000020980835,24.610000610351562,26.1299991607666,303.82000732421875,873.2899780273438,29.530000686645508,16.690000534057617,100.41999816894531,15.109999656677246,64.43000030517578,322.04998779296875,748.6500244140625,848.1099853515625,6.110000133514404,150.52999877929688,507.9700012207031,327.5899963378906,202.36000061035156,124.20999908447266,209.97999572753906,14.869999885559082,171.66000366210938,5.539999961853027,225.38999938964844,48.060001373291016,223.0,156.13999938964844,207.36000061035156,44.72999954223633,159.7100067138672,13.15999984741211,93.91999816894531,97.62999725341797,59.900001525878906,221.89999389648438,25.3799991607666,13.289999961853027,114.05999755859375,119.38999938964844,47.06999969482422,338.5299987792969,235.2100067138672,187.2899932861328,40.18000030517578,65.87000274658203,49.16999816894531,2.759999990463257,81.83000183105469,8.869999885559082,80.63999938964844,83.7300033569336,268.25
2025-09-05,7.400000095367432,348.9700012207031,247.07000732421875,25.559999465942383,87.3499984741211,100.0999984741211,15.619999885559082,82.83999633789062,151.13999938964844,232.3300018310547,0.6449999809265137,0.24400000274181366,334.8900146484375,326.2200012207031,49.77000045776367,4.980000019073486,1.2899999618530273,103.69000244140625,8.520000457763672,1099.1500244140625,2.509999990463257,4.210000038146973,12.350000381469727,95.4000015258789,51.709999084472656,7.519999980926514,9.239999771118164,221.52999877929688,299.07000732421875,13.619999885559082,250.75999450683594,417.6300048828125,0.7319999933242798,136.0800018310547,45.619998931884766,33.290000915527344,235.0,1.1799999475479126,738.2100219726562,8.390000343322754,33.2400016784668,2.6600000858306885,101.25,25.3799991607666,4.300000190734863,24.489999771118164,26.149999618530273,294.3800048828125,905.0900268554688,28.8700008392334,16.600000381469727,102.94999694824219,15.1899995803833,65.91999816894531,324.739990234375,752.4500122070312,865.8599853515625,6.150000095367432,148.08999633789062,495.0,335.8699951171875,199.57000732421875,131.3699951171875,214.42999267578125,14.739999771118164,167.02000427246094,5.599999904632568,226.74000549316406,49.11000061035156,232.8000030517578,153.11000061035156,204.39999389648438,44.90999984741211,159.83999633789062,13.289999961853027,92.63999938964844,92.05000305175781,60.66999816894531,225.5800018310547,25.600000381469727,14.260000228881836,112.94999694824219,120.19999694824219,46.52000045776367,350.8399963378906,243.41000366210938,187.92999267578125,43.81999969482422,66.9000015258789,48.79999923706055,2.6600000858306885,78.95999908447266,9.130000114440918,80.87000274658203,83.47000122070312,274.20001220703125
2025-09-08,8.34000015258789,358.6600036621094,248.97999572753906,25.190000534057617,85.87999725341797,100.44000244140625,15.739999771118164,83.98999786376953,151.41000366210938,235.83999633789062,0.6349999904632568,0.2370000034570694,345.6499938964844,325.4100036621094,49.459999084472656,4.869999885559082,1.2799999713897705,104.0199966430664,8.960000038146973,1104.9200439453125,2.549999952316284,4.199999809265137,12.699999809265137,95.87000274658203,51.70000076293945,7.71999979019165,9.170000076293945,220.10000610351562,302.20001220703125,13.930000305175781,252.27000427246094,428.05999755859375,0.7210000157356262,136.44000244140625,45.4900016784668,32.93000030517578,234.0399932861328,1.2599999904632568,741.8499755859375,8.430000305175781,36.59000015258789,2.5999999046325684,117.27999877929688,25.479999542236328,4.239999771118164,24.479999542236328,26.190000534057617,292.9100036621094,908.97998046875,28.489999771118164,16.5,105.06999969482422,15.199999809265137,65.30000305175781,323.2900085449219,752.2999877929688,864.3200073242188,6.079999923706055,148.7899932861328,498.20001220703125,329.8999938964844,199.22000122070312,131.4600067138672,217.9199981689453,15.220000267028809,168.30999755859375,5.610000133514404,225.5,48.880001068115234,238.47999572753906,156.10000610351562,203.77000427246094,44.9900016784668,160.24000549316406,13.4399995803833,100.73999786376953,93.44999694824219,60.619998931884766,226.52000427246094,25.959999084472656,15.289999961853027,111.6500015258789,118.9000015258789,46.0099983215332,346.3999938964844,247.19000244140625,185.82000732421875,45.5,68.22000122070312,48.650001525878906,2.630000114440918,79.13999938964844,9.199999809265137,80.56999969482422,82.62000274658203,281.6000061035156
2025-09-09,9.3100004196167,354.05999755859375,248.17999267578125,26.829999923706055,88.41999816894531,100.23999786376953,15.739999771118164,84.63999938964844,155.82000732421875,238.24000549316406,0.6869999766349792,0.2409999966621399,336.6700134277344,324.3399963378906,50.290000915527344,4.800000190734863,1.590000033378601,104.7699966430664,9.729999542236328,1105.6700439453125,2.7699999809265137,4.21999979019165,13.850000381469727,97.33999633789062,51.709999084472656,9.220000267028809,9.670000076293945,222.47999572753906,318.7799987792969,14.529999732971191,252.05999755859375,423.510009765625,0.6959999799728394,140.4600067138672,45.41999816894531,32.150001525878906,239.6300048828125,1.350000023841858,763.9199829101562,8.380000114440918,36.970001220703125,2.990000009536743,118.5,29.299999237060547,4.050000190734863,24.440000534057617,30.190000534057617,297.8500061035156,917.72998046875,29.149999618530273,16.479999542236328,105.56999969482422,15.930000305175781,64.76000213623047,331.0899963378906,765.7000122070312,857.8699951171875,6.0,152.22000122070312,498.4100036621094,328.5299987792969,199.8000030517578,135.24000549316406,218.55999755859375,15.460000038146973,170.75999450683594,5.760000228881836,223.69000244140625,48.619998931884766,241.50999450683594,162.36000061035156,200.41000366210938,44.66999816894531,158.66000366210938,15.210000038146973,98.33499908447266,93.66999816894531,61.58000183105469,225.55999755859375,25.969999313354492,14.850000381469727,112.05000305175781,115.06999969482422,45.290000915527344,346.9700012207031,250.9199981689453,185.02999877929688,45.5,68.91999816894531,49.369998931884766,3.8399999141693115,80.76000213623047,10.300000190734863,80.7300033569336,83.19000244140625,282.2900085449219
2025-09-10,8.869999885559082,350.1600036621094,247.2100067138672,26.399999618530273,84.87000274658203,100.44000244140625,15.609999656677246,83.47000122070312,159.5399932861328,230.3300018310547,0.7099999785423279,0.25,369.57000732421875,323.3500061035156,50.130001068115234,4.730000019073486,1.75,104.0,9.40999984741211,1102.8900146484375,2.9649999141693115,4.190000057220459,13.640000343322754,97.16999816894531,51.810001373291016,10.25,10.029999732971191,223.42999267578125,315.3399963378906,15.989999771118164,242.57000732421875,424.8699951171875,0.6859999895095825,139.1300048828125,45.5099983215332,31.84000015258789,239.1699981689453,1.3799999952316284,769.5800170898438,8.460000038146973,35.599998474121094,3.119999885559082,117.45999908447266,30.950000762939453,3.9800000190734863,24.770000457763672,33.630001068115234,300.5400085449219,932.6300048828125,28.920000076293945,16.219999313354492,107.36000061035156,15.859999656677246,64.73999786376953,334.8699951171875,751.97998046875,855.1799926757812,5.900000095367432,154.1199951171875,500.3699951171875,326.45001220703125,198.1699981689453,140.0,222.97000122070312,15.510000228881836,177.3300018310547,5.639999866485596,219.27999877929688,48.130001068115234,328.3299865722656,166.74000549316406,201.88999938964844,44.47999954223633,158.9499969482422,16.399999618530273,95.18000030517578,92.23999786376953,61.720001220703125,225.85000610351562,25.520000457763672,14.050000190734863,110.7699966430664,117.81999969482422,45.119998931884766,347.7900085449219,260.44000244140625,184.00999450683594,43.099998474121094,62.41999816894531,49.20000076293945,3.640000104904175,80.30000305175781,10.550000190734863,79.94000244140625,84.62000274658203,278.7900085449219
2025-09-11,8.279999732971191,350.54998779296875,248.24000549316406,26.56999969482422,81.41000366210938,100.62999725341797,16.399999618530273,83.13999938964844,155.6699981689453,229.9499969482422,0.7089999914169312,0.2800000011920929,359.6300048828125,329.32000732421875,50.75,4.869999885559082,2.0399999618530273,105.5999984741211,9.9399995803833,1134.1800537109375,2.944999933242798,4.440000057220459,14.109999656677246,98.81999969482422,51.7599983215332,9.970000267028809,10.199999809265137,224.35000610351562,323.95001220703125,15.550000190734863,246.27999877929688,433.3800048828125,0.7369999885559082,139.14999389648438,45.27000045776367,32.16999816894531,240.3699951171875,1.4800000190734863,784.72998046875,8.329999923706055,37.040000915527344,3.380000114440918,117.75,31.959999084472656,3.9000000953674316,24.610000610351562,32.849998474121094,305.55999755859375,959.280029296875,29.15999984741211,16.729999542236328,115.58000183105469,15.710000038146973,65.0199966430664,332.1000061035156,750.9000244140625,840.3800048828125,5.96999979019165,156.47999572753906,501.010009765625,326.0199890136719,197.8300018310547,150.57000732421875,224.63999938964844,15.619999885559082,177.1699981689453,6.079999923706055,223.2100067138672,49.02000045776367,307.8599853515625,164.36000061035156,202.75,45.619998931884766,161.50999450683594,15.649999618530273,99.62000274658203,93.94000244140625,60.90999984741211,224.52999877929688,25.959999084472656,14.579999923706055,112.94000244140625,115.55999755859375,45.29999923706055,368.80999755859375,258.9100036621094,184.35000610351562,43.400001525878906,62.189998626708984,49.31999969482422,3.5299999713897705,81.25,10.640000343322754,80.58999633789062,85.06999969482422,286.6600036621094
2025-09-12,7.889999866485596,349.3599853515625,245.2100067138672,26.469999313354492,83.08000183105469,100.54000091552734,16.43000030517578,80.37000274658203,158.57000732421875,228.14999389648438,0.699999988079071,0.2709999978542328,359.8699951171875,325.30999755859375,50.58000183105469,5.059999942779541,2.2300000190734863,106.4800033569336,9.520000457763672,1123.4100341796875,2.9700000286102295,4.789999961853027,16.149999618530273,99.44000244140625,51.81999969482422,10.850000381469727,10.350000381469727,223.75999450683594,323.0400085449219,15.859999656677246,242.75999450683594,436.1000061035156,0.7620000243186951,136.5,45.560001373291016,31.670000076293945,240.8000030517578,1.5,780.0599975585938,8.270000457763672,37.290000915527344,3.809999942779541,115.02999877929688,32.439998626708984,3.880000114440918,24.079999923706055,33.959999084472656,306.9100036621094,964.02001953125,28.670000076293945,16.68000030517578,116.95999908447266,16.309999465942383,64.69999694824219,330.1000061035156,755.5900268554688,834.1400146484375,5.829999923706055,156.38999938964844,509.8999938964844,331.44000244140625,198.8000030517578,157.22999572753906,221.32000732421875,15.6899995803833,177.82000732421875,6.170000076293945,218.82000732421875,48.2599983215332,292.17999267578125,171.42999267578125,201.97999572753906,44.15999984741211,161.8300018310547,15.890000343322754,99.08000183105469,93.54000091552734,60.29999923706055,221.14999389648438,26.549999237060547,14.119999885559082,112.44000244140625,112.23999786376953,45.20000076293945,395.94000244140625,259.3299865722656,182.60000610351562,43.54999923706055,63.08000183105469,49.130001068115234,3.7300000190734863,81.45999908447266,10.760000228881836,80.31999969482422,85.5,283.19000244140625
2025-09-15,7.074999809265137,347.1000061035156,244.91000366210938,28.780000686645508,89.43000030517578,100.70999908447266,17.530000686645508,80.7699966430664,161.16000366210938,231.42999267578125,0.699999988079071,0.25999999046325684,364.0899963378906,327.260009765625,50.59000015258789,5.090000152587891,2.4800000190734863,106.41999816894531,9.670000076293945,1115.1099853515625,2.940000057220459,4.710000038146973,15.930000305175781,99.79000091552734,51.34000015258789,10.850000381469727,10.289999961853027,226.52999877929688,327.0199890136719,16.31999969482422,242.52000427246094,444.7699890136719,0.7250000238418579,138.64999389648438,45.36000061035156,32.220001220703125,251.61000061035156,1.4800000190734863,786.760009765625,8.300000190734863,37.5099983215332,3.9600000381469727,114.83000183105469,34.19499969482422,3.869999885559082,24.770000457763672,37.13999938964844,308.8999938964844,988.9099731445312,29.729999542236328,17.139999389648438,119.20999908447266,16.239999771118164,63.16999816894531,333.9700012207031,764.7000122070312,849.7100219726562,5.800000190734863,156.63999938964844,515.3599853515625,327.7900085449219,196.57000732421875,157.77000427246094,226.00999450683594,15.90999984741211,177.75,6.110000133514404,219.27000427246094,48.11000061035156,302.1400146484375,171.2100067138672,202.4600067138672,44.869998931884766,161.22000122070312,16.68000030517578,100.19999694824219,92.0999984741211,62.630001068115234,225.7899932861328,27.670000076293945,14.1899995803833,112.12000274658203,114.06999969482422,44.779998779296875,410.0400085449219,261.3800048828125,178.1999969482422,46.529998779296875,66.9800033569336,49.290000915527344,3.9200000762939453,81.41000366210938,10.489999771118164,79.4000015258789,85.69999694824219,285.6600036621094
