Price,Close
Ticker,300251.SZ
Date,
2024-01-02,8.054965019226074
2024-01-03,8.084399223327637
2024-01-04,8.015721321105957
2024-01-05,7.848931312561035
2024-01-08,7.711575508117676
2024-01-09,7.868553638458252
2024-01-10,7.770442008972168
2024-01-11,8.172699928283691
2024-01-12,8.133454322814941
2024-01-15,8.251189231872559
2024-01-16,8.045153617858887
2024-01-17,7.799875259399414
2024-01-18,7.976476192474365
2024-01-19,7.917608737945557
2024-01-22,7.485918045043945
2024-01-23,7.799875259399414
2024-01-24,7.9077982902526855
2024-01-25,8.064776420593262
2024-01-26,7.897987365722656
2024-01-29,7.64289665222168
2024-01-30,7.485918045043945
2024-01-31,7.250450134277344
2024-02-01,7.014982223510742
2024-02-02,6.936492919921875
2024-02-05,6.681402683258057
2024-02-06,7.221016883850098
2024-02-07,7.574218273162842
2024-02-08,7.456484317779541
2024-02-19,7.839119911193848
2024-02-20,7.711575508117676
2024-02-21,7.70176362991333
2024-02-22,7.770442008972168
2024-02-23,8.035343170166016
2024-02-26,8.437601089477539
2024-02-27,9.026270866394043
2024-02-28,8.62401294708252
2024-02-29,8.908536911010742
2024-03-01,9.271550178527832
2024-03-04,9.742486953735352
2024-03-05,9.556073188781738
2024-03-06,9.497207641601562
2024-03-07,9.075326919555664
2024-03-08,9.340229034423828
2024-03-11,9.359850883483887
2024-03-12,9.173439025878906
2024-03-13,9.320606231689453
2024-03-14,9.28136157989502
2024-03-15,9.399094581604004
2024-03-18,9.467772483825684
2024-03-19,9.271550178527832
2024-03-20,9.752297401428223
2024-03-21,9.840597152709961
2024-03-22,10.380210876464844
2024-03-25,9.879841804504395
2024-03-26,9.919086456298828
2024-03-27,9.870031356811523
2024-03-28,10.134932518005371
2024-03-29,10.478322982788086
2024-04-01,10.556812286376953
2024-04-02,10.01719856262207
2024-04-03,10.056443214416504
2024-04-08,9.909276008605957
2024-04-09,9.928897857666016
2024-04-10,9.732674598693848
2024-04-11,9.840597152709961
2024-04-12,9.614940643310547
2024-04-15,9.654186248779297
2024-04-16,9.359850883483887
2024-04-17,9.83078670501709
2024-04-18,9.634562492370605
2024-04-19,9.713051795959473
2024-04-22,9.075326919555664
2024-04-23,9.369661331176758
2024-04-24,8.800614356994629
2024-04-25,8.820237159729004
2024-04-26,9.075326919555664
2024-04-29,9.438340187072754
2024-04-30,9.183249473571777
2024-05-06,9.457962036132812
2024-05-07,9.408906936645508
2024-05-08,9.10476016998291
2024-05-09,8.96740436553955
2024-05-10,8.800614356994629
2024-05-13,8.91834831237793
2024-05-14,8.839859008789062
2024-05-15,8.771180152893066
2024-05-16,8.957592964172363
2024-05-17,8.839859008789062
2024-05-20,8.908536911010742
2024-05-21,8.996837615966797
2024-05-22,9.144003868103027
2024-05-23,8.928159713745117
2024-05-24,8.957592964172363
2024-05-27,8.957592964172363
2024-05-28,8.66325855255127
2024-05-29,8.72259521484375
2024-05-30,8.900607109069824
2024-05-31,8.98961353302002
2024-06-03,8.900607109069824
2024-06-04,9.039061546325684
2024-06-05,8.969834327697754
2024-06-06,8.772043228149414
2024-06-07,8.880827903747559
2024-06-11,8.890717506408691
2024-06-12,9.05884075164795
2024-06-13,9.088508605957031
2024-06-14,9.236852645874023
2024-06-17,9.197294235229492
2024-06-18,8.880827903747559
2024-06-19,8.85115909576416
2024-06-20,8.712706565856934
2024-06-21,8.72259521484375
2024-06-24,8.45557689666748
2024-06-25,8.317123413085938
2024-06-26,8.702816009521484
2024-06-27,8.52480411529541
2024-06-28,8.317123413085938
2024-07-01,8.34679126739502
2024-07-02,7.862203121185303
2024-07-03,7.852313995361328
2024-07-04,7.644632816314697
2024-07-05,7.8226447105407715
2024-07-08,7.605074882507324
2024-07-09,7.605074882507324
2024-07-10,7.516068458557129
2024-07-11,7.595184803009033
2024-07-12,7.5358476638793945
2024-07-15,7.605074882507324
2024-07-16,7.525958061218262
2024-07-17,7.525958061218262
2024-07-18,7.545737266540527
2024-07-19,7.6347432136535645
2024-07-22,7.436952114105225
2024-07-23,7.268829345703125
2024-07-24,7.160044193267822
2024-07-25,7.239161014556885
2024-07-26,7.308387756347656
2024-07-29,7.35783576965332
2024-07-30,7.298498153686523
2024-07-31,7.6347432136535645
2024-08-01,7.476510047912598
2024-08-02,7.35783576965332
2024-08-05,7.288608551025391
2024-08-06,7.367724895477295
2024-08-07,7.338056564331055
2024-08-08,7.377614498138428
2024-08-09,7.179823398590088
2024-08-12,7.160044193267822
2024-08-13,7.130375385284424
2024-08-14,7.130375385284424
2024-08-15,7.229270935058594
2024-08-16,7.071038246154785
2024-08-19,7.110596656799316
2024-08-20,7.061148643493652
2024-08-21,6.991921901702881
2024-08-22,6.843578338623047
2024-08-23,6.823799133300781
2024-08-26,6.873246669769287
2024-08-27,6.685345649719238
2024-08-28,6.843578338623047
2024-08-29,6.8534674644470215
2024-08-30,7.041369438171387
2024-09-02,6.6655659675598145
2024-09-03,6.695234775543213
