Date,AAOI,ACHR,AEVA,AG,ALBT,AMBA,AMD,AMZN,AREC,ARQQ,ASML,ASNS,ASTS,AVAV,BABA,BBAI,BE,BEP,BIDU,BTDR,BYND,CACI,CHTR,CIFR,CLSK,CRML,CVX,DJT,DPRO,ELVA,EVGO,EVLV,FIX,GE,GGLL,GOOGL,GPUS,HIMX,HOOD,HPS,HUT,HYMC,INTC,IREN,JMIA,JOBY,LEGN,LLY,LMT,LSCC,LUNR,MARA,MBLY,MRVL,MSTR,MU,NDRA,NET,NFLX,NIU,NOC,NVDA,NVO,OKLO,ONDS,OPEN,OSCR,OSS,PATH,PLG,PLTR,POET,PRME,QQQ,QS,RCAT,RGTI,RKLB,ROIV,RTX,SCHL,SE,SIDU,SKYT,SMR,SNPS,SOFI,SPCE,SPGI,SPIR,SQQQ,SYM,TBLT,TDOC,TSLA,TSM,U,UUUU,V,VNM,ZETA
2024/1/17,16.86000061,5.039999962,4.699999809,4.685781002,6.300000191,54.08000183,160.1699982,151.7100067,1.49000001,11.5,699.9096069,12.10000038,4.28000021,121.8000031,66.34246826,1.779999971,11.26000023,23.02472687,102.1999969,6.53000021,7.28000021,330.0299988,359.2399902,2.799999952,7.360000134,11.01000023,131.1301117,23.04999924,9.899999619,3.390000105,2.559999943,4.300000191,201.0401154,100.0272369,29.55751419,140.4091034,30.41992188,5.341337204,10.64999962,12.11631489,9.279999733,2.180000067,45.45127869,4.710000038,3.00999999,5.690000057,59.88999939,620.2058716,432.087616,63.95000076,2.589999914,17.26000023,28.37999916,64.94680023,49.90000153,82.65485382,2135,77.06999969,48.03300095,1.789999962,458.0869446,56.02179337,102.6902924,10.61999989,1.325000048,3.119999886,11.22000027,1.919999957,21.62000084,1.059999943,16.38999939,0.930000007,6.800000191,402.7617493,6.650000095,0.750999987,0.966000021,4.920000076,10.76000023,81.57791138,35.22258377,34.81999969,9.739999771,8.510000229,2.039999962,507.8699951,7.53000021,39.20000076,431.1599731,6.579999924,296.40625,40.43000031,7,19.44000053,215.5500031,100.1633224,32.97999954,7.659999847,262.741333,12.60390282,9.109999657
2024/1/18,16.62000084,5.019999981,4.650000095,4.626088619,6,55.25,162.6699982,153.5,1.470000029,11.72500038,731.6098633,11.39999962,4.159999847,123.7300034,65.49549866,1.659999967,11.27000046,23.1711483,103.6399994,6.190000057,7.389999866,331.6600037,364.5499878,2.630000114,6.880000114,11.02999973,129.9390106,25.57999992,9.675000191,3.549999952,2.640000105,4.309999943,203.155365,101.3437805,30.13527489,142.404007,27.34375,5.461887836,10.67000008,12.04069138,7.119999886,2.079999924,46.12229156,4.329999924,3.019999981,5.599999905,57.02999878,614.7229004,435.0220032,66.76999664,2.569999933,16.06999969,28.06999969,67.77878571,48.65999985,84.18330383,1925,77.95999908,48.53099823,1.830000043,458.8119202,57.07520294,103.5277634,10.63500023,1.245000005,3.00999999,11.02999973,1.919999957,21.60000038,1.049999952,16.39999962,0.939999998,6.389999866,408.4785461,6.610000134,0.763000011,0.967000008,4.849999905,10.51000023,81.9807663,36.09796906,35.84000015,8.579999924,8.680000305,1.919999957,494.3399963,7.409999847,38.79999924,433.0018921,6.659999847,284.0920105,41.77999878,6.694499969,19.85000038,211.8800049,109.9704819,32.86999893,7.599999905,264.229248,12.88332367,9.659999847
2024/1/19,15.81000042,5.059999943,4.625,4.685781002,6.375,55.72999954,174.2299957,155.3399963,1.485000014,11.75,744.6790771,11.65999985,3.089999914,122.9599991,66.81407166,1.769999981,11.39999962,23.500597,102.6500015,6.400000095,7.320000172,335.8299866,371.1000061,2.680000067,6.869999886,11,130.3238373,26.37999916,9.699999809,3.579999924,2.660000086,4.400000095,203.2845001,102.3371353,31.04318428,145.2823181,25.9765625,5.610258579,10.71000004,12.01548672,6.909999847,2.079999924,47.51366043,4.320000172,2.930000067,5.630000114,56.68000031,619.8805542,433.3087158,68.45999908,2.609999895,16.12999916,28.34000015,70.63063812,48.09999847,86.8531189,1907.5,81.34999847,48.29499817,1.769999981,454.8002319,59.45788193,102.959816,10.63000011,1.309999943,3.150000095,10.72999954,1.940000057,22.22999954,1.039999962,16.78000069,0.939999998,6.5,416.5791016,6.550000191,0.751999974,1.00999999,4.860000134,10.35000038,82.03831482,36.0885582,36.40000153,8.010000229,8.819999695,1.99000001,517.3099976,7.489999771,38.40000153,435.3166199,6.980000019,267.4569702,44.09999847,6.449999809,20.23999977,212.1900024,111.1088028,33.13999939,7.349999905,266.9489746,12.90328312,9.760000229
2024/1/22,17.10000038,5.309999943,4.675000191,4.854906559,6.150000095,57,168.1799927,154.7799988,1.5,11.5,753.3753052,11.69999981,3.099999905,125.0699997,66.0537262,1.950000048,12.06000042,23.49144363,99.72000122,6.800000191,7.235000134,344.6900024,373.1499939,2.819999933,7.099999905,11.02000046,130.552887,49.68999863,9.399999619,3.460000038,2.720000029,4.599999905,207.9519958,103.4566193,30.91479111,144.8952179,23.92578125,5.712263107,10.98999977,12.20034027,6.71999979,2.069999933,47.58273315,4.300000191,3.029999971,5.869999886,56.20000076,622.1487427,434.2553101,69.01999664,2.799999952,16.61000061,28.88999939,69.66677856,47.01900101,88.57012939,1855,84.68000031,48.57099915,1.74000001,451.0688782,59.62078857,101.5447922,10.64999962,1.269999981,3.49000001,11.06000042,1.909999967,23.48999977,1.00999999,17.60000038,1.129999995,6.699999809,417.1231079,6.920000076,0.753000021,1.100000024,5.050000191,10.35000038,81.54914093,37.35927582,37.15000153,7.199999809,9.359999657,2.180000067,541.710022,7.920000076,41,437.7889404,6.96999979,266.5928345,45.29999924,6.409999847,20.94000053,208.8000031,109.9704819,34.22000122,7.199999809,267.2446594,12.89330292,9.800000191
2024/1/23,18.12999916,5.420000076,4.71999979,4.914597988,5.864999771,57.84000015,168.4199982,156.0200043,1.470000029,11.5,764.8821411,11.80000019,3.119999886,124.3300018,71.24139404,1.940000057,11.93000031,23.68362045,107.1900024,6.150000095,6.820000172,339.7200012,378.6400146,2.74000001,7.090000153,11.06000042,130.1864014,50.75,9.550000191,3.569999933,2.75,4.650000095,202.728363,102.4474945,31.2449398,145.9373169,21.19140625,5.795721531,10.94999981,12.23394775,6.329999924,2.170000076,48.24387741,4.150000095,2.99000001,5.960000038,60.79000092,620.965271,416.1849976,70.45999908,2.769999981,16.11000061,28.43000031,70.15367889,45.01900101,86.87296295,1750,83.93000031,49.21900177,1.889999986,452.325592,59.83966446,101.4292908,10.77999973,1.360000014,3.359999895,11.17000008,1.960000038,23.54000092,1.039999962,17.32999992,1.110000014,6.610000134,418.8540344,7.03000021,0.720000029,1.110000014,5.079999924,10.44999981,85.89421082,37.28398514,38.24000168,7.929999828,9.68999958,2.339999914,548.9000244,7.75,41.79999924,439.7884827,7.389999866,263.3522339,45.24000168,6.581500053,20.73999977,209.1399994,111.0406876,34.27999878,7.559999943,267.3038025,12.79350948,9.970000267
2024/1/24,16.59000015,5.010000229,4.414999962,4.785266399,6.375,56.97999954,178.2899933,156.8699951,1.450000048,11.22500038,832.6062012,12.10000038,3.079999924,121.4899979,72.37709808,1.850000024,11.86999989,23.5646534,110.6200027,6.239999771,6.849999905,339.9899902,371.3900146,2.285000086,6.989999771,11.05000019,132.7792969,38.15000153,9,3.569999933,2.519999981,4.5,199.1036072,102.4317398,31.79519272,147.5848846,21.19140625,5.72153616,10.81000042,12.23394775,6.349999905,2.079999924,48.44123077,4,2.910000086,5.760000229,60.09999847,624.9296875,408.5933838,68.83999634,2.640000105,15.64999962,27.62000084,71.82305145,45.09899902,87.4188385,1820,82.33000183,54.48699951,1.870000005,448.4588013,61.32783508,101.2752686,10.78999996,1.355000019,3.220000029,11.68999958,1.99000001,22.62999916,1,16.75,1.139999986,6.519999981,421.1783447,6.650000095,0.694999993,1.090000033,5.03000021,10.39999962,85.83665466,37.31222153,39.25999832,8.619999886,9.800000191,2.269999981,540.460022,7.559999943,40.20000076,439.2073059,6.960000038,259.0314026,41.00999832,6.184999943,20.19000053,207.8300018,113.3660126,33.02999878,7.480000019,267.6880493,12.81346893,9.869999886
2024/1/25,16.34000015,4.980000019,4.460000038,4.844958305,6.150000095,56.34999847,180.3300018,157.75,1.480000019,11,853.9984131,10.89999962,2.950000048,122.5899963,71.07777405,1.809999943,12.47000027,24.02222061,108.6100006,6.599999905,7.050000191,334.1400146,369.0700073,2.359999895,7.304999828,11.03999996,136.1235199,34.90999985,9.350000381,3.440000057,2.599999905,4.670000076,204.1186829,102.4317398,32.82232285,150.7311249,21.53320313,5.665897369,10.69999981,12.22554779,7.46999979,2.079999924,48.89515686,4.059999943,2.970000029,5.71999979,58.13000107,618.9338379,408.0160217,66.88999939,2.569999933,16.27000046,27.95000076,69.55747223,45.77799988,88.53042603,1802.5,81.86000061,56.20000076,1.909999967,420.067688,61.58268738,101.7276917,10.77999973,1.379999995,3.380000114,11.89000034,1.980000019,22.82999992,1.029999971,16.45999908,1.129999995,6.679999828,421.6926575,6.650000095,0.657000005,1.039999962,4.920000076,10.52000046,87.22746277,37.51930237,39.40000153,8.880000114,9.180000305,2.519999981,536.6799927,7.650000095,39,442.5956726,6.980000019,258.5993652,40.49000168,6.429999828,20.35000038,182.6300049,113.4049225,32.88000107,7.340000153,268.6340027,12.78353119,9.859999657
2024/1/26,14.98999977,4.900000095,4.275000095,4.835010052,5.954999924,54.77000046,177.25,159.1199951,1.480000019,11.19999981,852.6914673,11.19999981,2.789999962,122.0999985,71.23177338,1.809999943,12.47000027,23.77513695,107.6600037,7.599999905,7.150000095,342.3299866,377.0700073,2.75,8.010000229,9.5,136.6457825,38.18000031,8.899999619,3.539999962,2.519999981,4.579999924,205.916153,103.4250793,32.89568329,151.0487213,21.875,5.508254051,10.78999996,12.14992619,8.449999809,2.059999943,43.07312775,4.269999981,2.980000019,5.630000114,56.54999924,630.402771,406.9463196,62.52999878,2.569999933,17.85000038,28.37999916,67.60986328,49.45000076,87.3890686,1785,80.18000031,57.04199982,1.929999948,423.3640137,60.99701309,104.0283051,10.75,1.409999967,3.349999905,12.47000027,2.019999981,22.73999977,1.059999943,16.35000038,1.139999986,6.53000021,419.1803894,6.630000114,0.654999971,1.090000033,4.880000114,10.36999989,86.71910858,37.47224045,39.56999969,8.909999847,8.430000305,2.75,528.1300049,7.619999886,37.79999924,439.8968811,7.059999943,263.3522339,41,6.199999809,20.20999908,183.25,114.0859833,33.11000061,7.300000191,264.032196,12.84340668,9.920000076
2024/1/29,15.96500015,5.170000076,4.324999809,4.566398621,6,56.52000046,177.8300018,161.2599945,1.460000038,11.22500038,867.3034058,11.19999981,3.069999933,123.8799973,70.81791687,1.830000043,11.89999962,24.37912369,107.7600021,8.989999771,7.090000153,344.1099854,380.8299866,3.109999895,8.529999733,11.02999973,136.5908203,36.20999908,9.449999809,3.690000057,2.569999933,4.75,211.5270844,103.3541183,33.30837631,152.3588257,22.21679688,5.517527103,11.31000042,12.32637596,8.420000076,2.049999952,43.2606163,4.480000019,3.140000105,6.130000114,55.79000092,636.0731812,405.1478271,63.72000122,3.049999952,18.52000046,27.75,69.69658661,51.38100052,88.40139771,1820,84.30000305,57.57899857,1.870000005,423.7023621,62.43022156,104.9427795,11.26000023,1.50999999,3.720000029,13.13000011,2.099999905,24.19000053,1.049999952,17.09000015,1.200000048,7.489999771,423.4730225,7.179999828,0.697000027,1.110000014,5.139999866,10.31999969,86.402565,37.31222153,40.63000107,8.699999809,9.31000042,2.980000019,539.9000244,9.159999847,38.40000153,443.0586243,7.550000191,255.5747833,44.06999969,5.886700153,20.59000015,190.9299927,113.8135681,34.59999847,7.369999886,269.6687317,12.77355099,9.989999771
2024/1/30,16.69000053,4.989999771,4.090000153,4.626088619,6.449999809,54.95999908,172.0599976,159,1.429999948,11.47500038,852.9665527,11.30000019,2.920000076,122.5599976,69.60520935,1.710000038,11.35999966,24.17779541,105.2900009,8.979999542,6.820000172,342.8699951,376.980011,3.079999924,8.420000076,11.11999989,137.5436707,37.79999924,9.5,3.660000086,2.410000086,4.619999886,220.6435852,105.5851746,32.60221863,150.3241882,19.140625,5.387702465,11.01000023,12.47762108,7.820000172,1.950000048,42.35277176,4.329999924,2.980000019,5.730000019,55.56999969,636.0535278,408.6217346,61.18999863,3.400000095,18.11000061,26.25,68.39486694,51.95100021,85.51325226,1802.5,82.95999908,56.28499985,1.820000052,428.7194214,62.73904037,104.9427795,11.22000027,1.389999986,3.549999952,12.81000042,2.099999905,23.85000038,1.029999971,16.73999977,1.299999952,6.789999962,420.6541443,7.039999962,0.672999978,1.24000001,4.980000019,10.22000027,86.90133667,36.87703705,39.25,4.849999905,9.020000458,2.930000067,543.1799927,8.399999619,35.79999924,447.7373352,7.170000076,260.7597351,44.09999847,5.96999979,19.73999977,191.5899963,112.9184647,33.50999832,7.789999962,273.1078796,12.91326141,9.93999958
