Date,Close
2020/1/2,5.971076965
2020/1/3,5.875504494
2020/1/6,5.900143623
2020/1/7,5.97157526
2020/1/8,5.982775211
2020/1/9,6.048482418
2020/1/10,6.080836773
2020/1/13,6.271486282
2020/1/14,6.154508591
2020/1/15,6.111948013
2020/1/16,6.195574284
2020/1/17,6.204284668
2020/1/21,6.170933247
2020/1/22,6.224943161
2020/1/23,6.29338789
2020/1/24,6.23415184
2020/1/27,5.978294849
2020/1/28,6.171682835
2020/1/29,6.111200809
2020/1/30,6.117920399
2020/1/31,5.88446331
2020/2/3,5.981529713
2020/2/4,6.150774956
2020/2/5,6.241120338
2020/2/6,6.327981949
2020/2/7,6.261779308
2020/2/10,6.545014381
2020/2/11,6.667467117
2020/2/12,6.783199787
2020/2/13,6.739395618
2020/2/14,7.212531567
2020/2/18,7.381278515
2020/2/19,7.832512379
2020/2/20,7.683180332
2020/2/21,7.319056511
2020/2/24,6.801618099
2020/2/25,6.522115707
2020/2/26,6.661492825
2020/2/27,6.290678024
2020/2/28,6.725743771
2020/3/2,6.884131432
2020/3/3,6.621646881
2020/3/4,7.085353374
2020/3/5,6.805934906
2020/3/6,6.625384331
2020/3/9,6.112366676
2020/3/10,6.501860619
2020/3/11,6.138018131
2020/3/12,5.386920929
2020/3/13,5.99780941
2020/3/16,4.891088009
2020/3/17,5.410830021
2020/3/18,5.050970554
2020/3/19,5.303742409
2020/3/20,5.123939991
2020/3/23,5.296770573
2020/3/24,6.205506802
2020/3/25,6.116849422
2020/3/26,6.406230927
2020/3/27,6.293914318
2020/3/30,6.614176273
2020/3/31,6.564618587
2020/4/1,6.053344727
2020/4/2,6.362151146
2020/4/3,6.074263096
2020/4/6,6.684155464
2020/4/7,6.450807571
2020/4/8,6.648046494
2020/4/9,6.548431873
2020/4/13,6.720265865
2020/4/14,7.071409225
2020/4/15,6.993957043
2020/4/16,7.339122295
2020/4/17,7.279853344
2020/4/20,7.148610592
2020/4/21,6.711798668
2020/4/22,7.126195908
2020/4/23,7.072901726
2020/4/24,7.211865902
2020/4/27,7.398393631
2020/4/28,7.255944729
2020/4/29,7.432762146
2020/4/30,7.278856277
2020/5/1,7.04227066
2020/5/4,7.254201889
2020/5/5,7.315216541
2020/5/6,7.416076183
2020/5/7,7.592394829
2020/5/8,7.782409668
2020/5/11,8.034435272
2020/5/12,7.772447586
2020/5/13,7.750033379
2020/5/14,7.999572277
2020/5/15,8.458047867
2020/5/18,8.716546059
2020/5/19,8.771584511
2020/5/20,8.935453415
2020/5/21,8.741451263
2020/5/22,8.991482735
2020/5/26,8.684171677
2020/5/27,8.492416382
2020/5/28,8.454311371
2020/5/29,8.841315269
2020/6/1,8.772331238
2020/6/2,8.791258812
2020/6/3,8.735724449
2020/6/4,8.736721039
2020/6/5,8.88970089
2020/6/8,8.77508831
2020/6/9,9.015272141
2020/6/10,9.334932327
2020/6/11,8.766370773
2020/6/12,8.90215683
2020/6/15,9.142586708
2020/6/16,9.037693024
2020/6/17,9.204624176
2020/6/18,9.186686516
2020/6/19,9.229787827
2020/6/22,9.494385719
2020/6/23,9.417899132
2020/6/24,9.204125404
2020/6/25,9.457762718
2020/6/26,9.123900414
2020/6/29,9.168749809
2020/6/30,9.465486526
2020/7/1,9.497626305
2020/7/2,9.579596519
2020/7/6,9.805826187
2020/7/7,9.838216782
2020/7/8,10.18129539
2020/7/9,10.47330093
2020/7/10,10.44365215
2020/7/13,10.01810169
2020/7/14,10.3417511
2020/7/15,10.1925087
2020/7/16,10.10032272
2020/7/17,10.16684628
2020/7/20,10.47504711
2020/7/21,10.29341412
2020/7/22,10.40328884
2020/7/23,10.09533787
2020/7/24,10.15986919
2020/7/27,10.38609982
2020/7/28,10.18079853
2020/7/29,10.42994881
2020/7/30,10.5779438
2020/7/31,10.57869244
2020/8/3,10.97285175
2020/8/4,11.18960953
2020/8/5,11.24840927
2020/8/6,11.29699421
2020/8/7,11.16145515
2020/8/10,11.12707138
2020/8/11,10.81313992
2020/8/12,11.40138721
2020/8/13,11.40412903
2020/8/14,11.52472019
2020/8/17,12.29509258
2020/8/18,12.21909904
2020/8/19,12.0972662
2020/8/20,12.09975529
2020/8/21,12.64041424
2020/8/24,12.67703819
2020/8/25,12.70668888
2020/8/26,12.72960949
2020/8/27,12.58535099
2020/8/28,13.10308647
2020/8/31,13.32906818
2020/9/1,13.77817345
2020/9/2,14.30204296
2020/9/3,12.97516537
2020/9/4,12.58338737
2020/9/8,11.87608528
2020/9/9,12.67560005
2020/9/10,12.27359676
2020/9/11,12.1268034
2020/9/14,12.83236027
2020/9/15,12.95074558
2020/9/16,12.4757185
2020/9/17,12.42487812
2020/9/18,12.15148258
2020/9/21,12.47846031
2020/9/22,12.59858704
2020/9/23,12.08617878
2020/9/24,12.30973339
2020/9/25,12.83385563
2020/9/28,12.99460888
2020/9/29,13.18476486
2020/9/30,13.48857021
2020/10/1,13.57231236
2020/10/2,13.02177238
2020/10/5,13.60022449
2020/10/6,13.69393444
2020/10/7,13.92072582
2020/10/8,13.79586697
2020/10/9,13.7201004
2020/10/12,14.18191624
2020/10/13,14.20409775
2020/10/14,14.05157089
2020/10/15,13.92670918
2020/10/16,13.76869869
2020/10/19,13.45592213
2020/10/20,13.60321426
2020/10/21,13.48284054
2020/10/22,13.31959629
2020/10/23,13.54813385
2020/10/26,13.10052776
2020/10/27,13.3552351
2020/10/28,12.5878706
2020/10/29,12.98364353
2020/10/30,12.49515915
2020/11/2,12.54176617
2020/11/3,12.97915745
2020/11/4,13.7515049
2020/11/5,14.11612034
2020/11/6,14.51687336
2020/11/9,13.58851147
2020/11/10,12.7304287
2020/11/11,13.37642097
2020/11/12,13.41505146
2020/11/13,13.25579166
2020/11/16,13.47337055
2020/11/17,13.38065434
2020/11/18,13.38713646
2020/11/19,13.39860153
