Price,Close
Ticker,SNDK
Date,
2025-07-01,44.959999084472656
2025-07-02,46.209999084472656
2025-07-03,46.40999984741211
2025-07-07,45.220001220703125
2025-07-08,46.16999816894531
2025-07-09,46.20000076293945
2025-07-10,46.95000076293945
2025-07-11,46.09000015258789
2025-07-14,42.47999954223633
2025-07-15,42.720001220703125
2025-07-16,41.36000061035156
2025-07-17,41.52000045776367
2025-07-18,42.189998626708984
2025-07-21,41.61000061035156
2025-07-22,41.36000061035156
2025-07-23,43.0
2025-07-24,42.060001373291016
2025-07-25,42.47999954223633
2025-07-28,41.88999938964844
2025-07-29,42.93000030517578
2025-07-30,43.38999938964844
2025-07-31,42.91999816894531
2025-08-01,41.33000183105469
2025-08-04,42.5099983215332
2025-08-05,41.93000030517578
2025-08-06,42.099998474121094
2025-08-07,40.689998626708984
2025-08-08,44.34000015258789
2025-08-11,43.369998931884766
2025-08-12,46.83000183105469
2025-08-13,47.0099983215332
2025-08-14,46.68000030517578
2025-08-15,44.540000915527344
2025-08-18,45.52000045776367
2025-08-19,44.58000183105469
2025-08-20,44.400001525878906
2025-08-21,45.5
2025-08-22,46.369998931884766
2025-08-25,46.779998779296875
2025-08-26,47.349998474121094
2025-08-27,48.439998626708984
2025-08-28,50.869998931884766
2025-08-29,52.470001220703125
2025-09-02,51.06999969482422
2025-09-03,53.0099983215332
2025-09-04,62.5
2025-09-05,68.55000305175781
2025-09-08,70.49500274658203
2025-09-09,70.51000213623047
2025-09-10,73.91999816894531
2025-09-11,84.30000305175781
2025-09-12,86.12999725341797
2025-09-15,90.08999633789062
2025-09-16,91.55000305175781
2025-09-17,93.97000122070312
2025-09-18,98.87000274658203
2025-09-19,102.20999908447266
2025-09-22,102.91999816894531
2025-09-23,106.4000015258789
2025-09-24,99.83000183105469
2025-09-25,94.29000091552734
2025-09-26,97.12000274658203
2025-09-29,113.5
2025-09-30,112.19999694824219
2025-10-01,121.12000274658203
2025-10-02,124.13999938964844
2025-10-03,128.41000366210938
2025-10-06,121.16999816894531
2025-10-07,120.94999694824219
2025-10-08,131.8800048828125
2025-10-09,129.67999267578125
2025-10-10,116.91000366210938
2025-10-13,134.61000061035156
2025-10-14,127.29000091552734
2025-10-15,144.3000030517578
2025-10-16,144.27000427246094
2025-10-17,140.16000366210938
2025-10-20,148.0399932861328
2025-10-21,149.2899932861328
2025-10-22,146.9499969482422
2025-10-23,167.0500030517578
2025-10-24,186.16000366210938
2025-10-27,176.49000549316406
2025-10-28,175.52999877929688
2025-10-29,204.36000061035156
2025-10-30,195.82000732421875
2025-10-31,199.3300018310547
2025-11-03,207.00999450683594
2025-11-04,194.57000732421875
2025-11-05,216.5
2025-11-06,207.69000244140625
2025-11-07,239.47999572753906
2025-11-10,267.95001220703125
2025-11-11,271.5799865722656
2025-11-12,283.1000061035156
2025-11-13,243.57000732421875
2025-11-14,254.16000366210938
2025-11-17,265.8800048828125
2025-11-18,244.92999267578125
2025-11-19,245.9600067138672
2025-11-20,195.9600067138672
2025-11-21,200.27000427246094
2025-11-24,226.9600067138672
2025-11-25,220.5
2025-11-26,215.0399932861328
2025-11-28,223.27999877929688
2025-12-01,210.1699981689453
2025-12-02,205.35000610351562
2025-12-03,194.3800048828125
2025-12-04,213.30999755859375
2025-12-05,228.47000122070312
2025-12-08,225.47000122070312
2025-12-09,219.4600067138672
2025-12-10,232.86000061035156
2025-12-11,241.61000061035156
2025-12-12,206.17999267578125
2025-12-15,201.8699951171875
2025-12-16,209.30999755859375
2025-12-17,206.8300018310547
2025-12-18,219.4600067138672
2025-12-19,237.61000061035156
2025-12-22,241.0500030517578
2025-12-23,244.89999389648438
2025-12-24,250.0800018310547
2025-12-26,250.0500030517578
2025-12-29,244.25
2025-12-30,240.22000122070312
2025-12-31,237.3800048828125
2026-01-02,275.239990234375
2026-01-05,274.0799865722656
2026-01-06,349.6300048828125
2026-01-07,353.55999755859375
2026-01-08,334.5400085449219
2026-01-09,377.4100036621094
2026-01-12,389.2699890136719
2026-01-13,389.80999755859375
2026-01-14,387.80999755859375
