Date,Open,High,Low,Close
2025-01-06,521.3757317028955,525.2560152502887,519.3957832737171,521.89306640625
2025-01-07,522.93782595459,523.3357710622589,510.68994636807815,512.580322265625
2025-01-08,512.4808782025573,514.3115593941594,507.99362634128687,512.669921875
2025-01-10,508.8990985985744,508.9985697107834,501.3772485549007,504.6307373046875
2025-01-13,498.6709265319041,503.4665814430954,497.1784956229263,503.0089111328125
2025-01-14,506.1728767537031,507.58572476161,499.0589618879038,502.5313415527344
2025-01-15,510.4411878483546,515.2368118248424,508.87907269881447,514.0926513671875
2025-01-16,516.3612201395633,516.4408334651224,510.36167895068803,510.49102783203125
2025-01-17,520.2116230255002,521.4254983632635,510.52078174278137,519.1072387695312
2025-01-21,521.8334628963586,523.3159346639001,517.4357831491008,522.15185546875
2025-01-22,526.8977897673428,531.1263442087582,526.5893564607029,528.8280029296875
2025-01-23,526.3703999596165,530.0716601200355,525.7834111540478,529.9522705078125
2025-01-24,530.3303669169458,531.0964401539385,525.4849461020708,526.9574584960938
2025-01-27,508.4215016777219,515.3762205263981,507.57578469223336,511.6153259277344
2025-01-28,512.6201673808628,520.3609385993179,509.1975535777298,519.1769409179688
2025-01-29,519.8236229347082,519.9529717965171,514.2916818236855,518.2018432617188
2025-01-30,521.0673481367949,523.4452418932513,515.5951014840432,520.41064453125
2025-01-31,524.2611832325891,528.8380084054903,518.5601158260058,519.654541015625
2025-02-03,510.8790043064367,518.2217697288138,508.4712326155503,515.49560546875
2025-02-04,516.0130494300054,522.4603325614203,515.6150434993738,521.8235473632812
2025-02-05,519.1869409184043,524.3507549789844,517.9929838870746,524.1915283203125
2025-02-06,524.6989858456699,527.136635565115,523.0871650426626,526.9276733398438
2025-02-07,527.4649721275886,529.415043264843,519.5550750224312,520.2813720703125
2025-02-10,524.5595601596075,527.68372994529,524.0919609808617,526.579345703125
2025-02-11,523.306019618235,527.2459985319832,523.1766707420592,525.3257446289062
2025-02-12,519.6643712810557,526.519617718122,519.316161732749,525.6340942382812
2025-02-13,527.3057508960864,533.5142547214782,526.5197590242208,533.1959228515625
2025-02-14,533.3052931830399,536.1210299534633,532.966982109474,535.4345092773438
2025-02-18,537.0064842826905,537.2751412860282,533.3351017214825,536.6483154296875
2025-02-19,535.8523280383527,538.0810150531318,533.7529898884638,536.7975463867188
2025-02-20,536.0115349648631,536.3796630770588,529.7732148425396,534.5191040039062
2025-02-21,535.6632745780284,535.6831930883143,523.0572259266131,523.4253540039062
2025-02-24,525.2163569171582,526.4003546841066,516.9085147616917,517.2467651367188
2025-02-25,516.6199389414479,516.6995522702492,506.86940125087983,510.7298278808594
2025-02-26,512.9286990343229,517.0378034598252,508.78965611060477,511.96356201171875
2025-02-27,515.5155305487389,516.4507897553704,497.5267448876785,497.7456359863281
2025-02-28,497.60633547937397,506.2126812749178,494.42247061966975,505.60577392578125
2025-03-03,508.93885561166286,510.4511747502602,491.08937854664106,494.5418701171875
2025-03-04,491.68635636601033,501.19811409825184,485.2788502299198,493.0494384765625
2025-03-05,493.69615719563,501.08865768290207,488.7810823027222,499.4768371582031
2025-03-06,491.1988293432897,496.06413848203505,483.74663380211234,485.7365417480469
2025-03-07,484.70176900659226,490.79088231087314,478.1052194724263,489.30841064453125
2025-03-10,481.0105123404904,481.527877477655,466.29513451841564,470.3446044921875
2025-03-11,469.96652188682117,476.39391614178453,464.65347123925363,469.2203063964844
2025-03-12,476.7421760776683,478.632582659648,469.40936974367503,474.51348876953125
2025-03-13,473.84683526899994,473.876682674001,464.07637985083835,465.97674560546875
2025-03-14,471.3395542793586,478.1350765220873,470.73261656970107,477.2396240234375
2025-03-17,477.1898651106022,483.3884393542646,475.3890008308422,480.33392333984375
2025-03-18,476.9908983924578,477.1898709733085,470.0262204273719,472.1454772949219
2025-03-19,474.40401064913135,482.8810077328089,472.4737974749432,478.46343994140625
2025-03-20,474.4736490056198,482.10492887042955,473.7771690886222,476.8416442871094
2025-03-21,471.6877671830669,479.1797694014654,470.52368803573967,478.4136657714844
2025-03-24,486.00252834320924,489.7591180442307,482.67442997651204,488.9121398925781
2025-03-25,489.63957585890734,491.86161264912084,488.67302999487,491.7021789550781
2025-03-26,490.54624924101137,491.40320144364296,481.1000396591842,482.65447998046875
